words,answ_0,temp_0,answ_1,temp_1,answ_2,temp_2,answ_3,temp_3,answ_4,temp_4,answ_5,temp_5,answ_6,temp_6,answ_7,temp_7,answ_8,temp_8,answ_9,temp_9,answ_10,temp_10,answ_11,temp_11,answ_12,temp_12,answ_13,temp_13,answ_14,temp_14,answ_15,temp_15,answ_16,temp_16,answ_17,temp_17,answ_18,temp_18,answ_19,temp_19,answ_20,temp_20,answ_21,temp_21,answ_22,temp_22,answ_23,temp_23,answ_24,temp_24,answ_25,temp_25,answ_26,temp_26,answ_27,temp_27,answ_28,temp_28,answ_29,temp_29,answ_30,temp_30,answ_31,temp_31,answ_32,temp_32,answ_33,temp_33,answ_34,temp_34,answ_35,temp_35,answ_36,temp_36,answ_37,temp_37,answ_38,temp_38,answ_39,temp_39,answ_40,temp_40,answ_41,temp_41,answ_42,temp_42,answ_43,temp_43,answ_44,temp_44,answ_45,temp_45,answ_46,temp_46,answ_47,temp_47,answ_48,temp_48,answ_49,temp_49,answ_50,temp_50,answ_51,temp_51,answ_52,temp_52,answ_53,temp_53,answ_54,temp_54,answ_55,temp_55,answ_56,temp_56,answ_57,temp_57,answ_58,temp_58,answ_59,temp_59,answ_60,temp_60,answ_61,temp_61,answ_62,temp_62,answ_63,temp_63,answ_64,temp_64,answ_65,temp_65,answ_66,temp_66,answ_67,temp_67,answ_68,temp_68,answ_69,temp_69,answ_70,temp_70,answ_71,temp_71,answ_72,temp_72,answ_73,temp_73,answ_74,temp_74,answ_75,temp_75,answ_76,temp_76,answ_77,temp_77,answ_78,temp_78,answ_79,temp_79,answ_80,temp_80,answ_81,temp_81,answ_82,temp_82,answ_83,temp_83,answ_84,temp_84,answ_85,temp_85,answ_86,temp_86,answ_87,temp_87,answ_88,temp_88,answ_89,temp_89,answ_90,temp_90,answ_91,temp_91,answ_92,temp_92,answ_93,temp_93,answ_94,temp_94,answ_95,temp_95,answ_96,temp_96,answ_97,temp_97,answ_98,temp_98,answ_99,temp_99,answ_100,temp_100,answ_101,temp_101,answ_102,temp_102,answ_103,temp_103,answ_104,temp_104,answ_105,temp_105,answ_106,temp_106,answ_107,temp_107,answ_108,temp_108,answ_109,temp_109,answ_110,temp_110,answ_111,temp_111,answ_112,temp_112,answ_113,temp_113,answ_114,temp_114,answ_115,temp_115,answ_116,temp_116,answ_117,temp_117,answ_118,temp_118,answ_119,temp_119,difficulty,answ_mean,answ_sd,temp_mean,temp_sd
TALK,1,4154.408504535506,0,2917.2233327645044,0,2879.328142232132,0,5592.830212214399,1,5461.017704315046,0,2381.4105535425265,0,5364.043823109203,0,3118.2091575812574,1,6879.939874399926,1,5098.654782264862,0,5711.680025756516,1,3930.427745838417,0,3500.90888338828,0,3608.631674758281,0,5389.715822019381,0,4633.400777453846,1,4432.680974953321,0,4217.575435722636,0,5550.1602937449925,0,3817.299178840751,0,4000.111990320909,0,3575.878529859288,0,4351.470136245382,1,4526.874333358599,0,3866.167999441625,0,5257.307795274716,1,5962.490979042823,1,3622.624102259192,0,4886.700282455119,0,4109.275500978351,1,2867.837976610359,0,3242.2272595560908,1,5263.245506293214,0,2883.794100139543,1,5529.718074333233,1,2922.293806674292,1,4636.640711129363,0,3941.1840297861336,1,5765.376047086257,1,5011.390248599068,0,5089.264874323433,1,4134.544888442797,1,4306.839562328536,1,4891.9298792328445,0,3664.013370902997,1,5062.027099606887,0,4490.696369539586,0,2688.5404814422664,0,4145.703241225046,0,3703.555143332538,0,5220.220870021821,1,3041.84725604292,0,3630.2715071436414,1,4542.1160294076735,0,4248.428399210381,1,5166.449085744019,1,2407.784519262192,0,2977.6231329272387,1,3973.723415631072,1,4137.047110128172,0,3337.194194175619,1,4225.526921125301,0,1651.4094006447003,0,3122.605477912929,0,2887.329437592497,0,4511.825101278617,0,4821.754533976058,0,4653.458439158946,1,3655.437411928639,1,3867.58202621545,1,5395.49394990057,1,4153.279440521798,1,3349.7994083147805,1,4770.888722761533,0,3699.710682228877,1,4429.186888666729,1,3076.8182903775983,1,3868.6390914351305,1,6527.404707426374,0,2756.05876156478,0,4250.053373632814,1,4826.702934419876,0,3786.686553479021,0,2686.899976298131,1,4552.283295993059,1,2113.5402878608675,1,4524.959461837168,1,3148.3158734353747,0,4962.57399784099,0,4959.793498086881,1,3349.835150548238,1,3803.366600957179,1,1372.502224051048,1,3856.875337085433,1,4739.020861544668,1,1455.4314739198046,1,4074.4040893075216,1,5438.339411559385,1,3770.1076815426377,1,4257.6409845383005,1,2549.8475429164373,1,3483.974306091596,1,2486.6896792295984,1,3729.737997145242,1,4227.08907700707,1,2170.732482422384,1,4864.374615152811,1,4885.351760062718,1,2865.7813551286667,1,3276.387993737275,1,4015.751515501453,1,3739.886215120749,1,3468.324037815109,1,3371.744609506219,1,4585.704271670807,1,3978.263825083605,1,2181.538160606932,1,3082.1348862112213,1,4289.143085879332,1,3936.5024885413823,-0.3544229567050934,0.6,0.49195203701447265,4018.870653372928,1034.5748962990608
COUCH,1,5624.334445118352,0,5611.909510313846,0,4863.534455729862,0,5325.284491927531,1,6832.897299479076,1,5985.555208569682,1,4657.222434643735,0,5160.202314024236,1,6033.70414196401,0,5052.663722626177,1,4679.036087325257,0,4800.6523272234135,1,4831.6249714093465,1,5683.028272222502,0,7511.859237886982,1,5551.821962188698,0,4116.850281079455,1,5514.22438947323,1,3024.772330865002,1,3884.831336364105,0,5155.640225919296,0,6067.735645628533,0,4555.895506128952,0,5337.988924845,0,3976.618400986757,1,5926.967614114541,1,5033.101380850671,1,5166.934653034668,0,4178.356330940017,0,5647.798373725228,0,3281.641264963493,0,3404.3700956287653,1,3737.914322415916,1,2977.547387007386,1,5455.117946470384,1,6256.432693756134,0,6412.574858624288,1,2862.6879323540325,0,4280.796246821163,0,3275.40422445806,1,4826.9391718338165,1,5144.32516494394,0,2613.869318444556,0,4871.190345753279,1,4451.247946133123,0,6075.95720222187,0,5752.004631893156,1,3360.5428764462185,1,4319.979161220556,1,3485.768307227603,1,3801.845596880096,0,4956.632388215863,1,5736.982767929394,0,3566.3304469229383,0,3521.154827090396,1,3210.932657546755,1,3827.9378378399706,1,4596.517688814023,1,4120.709104748732,1,4751.408273072373,1,5056.683761064652,0,3294.1453068356604,0,4248.788145271611,1,4054.338930354661,0,5253.166872417212,1,3166.3187403649863,0,5734.923789658571,1,5286.410487002991,0,4323.77534370052,1,3935.211289721549,0,4315.091994951536,0,4364.690975897571,1,5578.2326429795685,0,4764.350130104532,0,3711.2899932508576,0,3499.063282575048,0,3643.165546683698,1,3578.90012853103,0,5492.966121342304,0,4211.123105186443,0,4463.042690603661,0,4295.82530714694,0,4561.586944019352,1,4486.74313704618,1,4637.133436759632,0,4906.1966522188695,0,4450.564748605212,0,4040.92107267451,0,4845.692170512553,1,4532.375869429245,1,1476.8029502494985,1,5040.462084280816,1,2838.732829314036,1,3105.497471413931,1,3271.686930965905,1,1571.709231817023,1,4251.276787941578,1,4998.863729305986,1,2762.149689842808,1,2203.6498867634878,1,2939.425477133932,1,6230.242561387741,1,4452.094168998793,1,3526.849206050968,1,4861.708821296317,1,3181.7887891501955,1,4571.997018349675,1,2937.939724438823,1,4699.955803198802,1,3421.3933009828256,1,3041.419987103005,1,4165.201453933207,1,3544.0064378460424,1,3788.0354942318895,1,3364.309536168254,1,4153.025963192045,1,3978.737007491442,1,5332.811086427511,1,2365.329392096442,1,4907.817511345443,-0.5140444040298462,0.6083333333333333,0.49016946706478665,4403.728732615969,1082.7690774335842
REMEMBER,1,1754.3484437087743,0,4304.7841026907645,1,2560.1153407896395,1,3171.747714688847,1,4520.178471180865,1,3526.662267182886,0,1546.1276582694095,0,3776.553605911632,0,2970.899939699667,1,5260.722525886897,1,6560.704482257224,0,2358.822948718381,1,3096.057036834718,1,4635.989033929144,0,2595.7090042410646,1,3594.2978726350298,0,3352.059603880682,1,3375.464451686623,0,3086.890908905113,1,3233.3089734686355,1,2430.688548379926,1,2453.021641044958,0,3117.5475477611963,0,3103.789664111951,1,3230.8174589161363,1,3651.744427384948,0,4298.787439399704,0,2258.2624191375694,1,3861.725154790778,1,2912.1410984962117,0,3281.7542678204345,1,2994.9722123761467,0,4123.28426387776,1,2819.026532208733,0,2134.6124963814227,0,1960.9764467867108,1,3715.7072934912912,0,4290.806596088492,1,1561.3759415367902,0,1188.916305347514,0,3840.7347950218423,1,2034.914371547677,1,2032.5720185099308,1,2335.179608454508,1,2034.8286821318488,0,2446.4460267842014,1,3000.3142143170758,0,2422.699337043528,1,4325.558561327471,1,4010.546667185273,0,2356.1382801075206,0,2234.7204537233715,1,3193.0006264630424,1,2611.627463418885,0,3182.8981163189987,0,1723.0566918761162,0,1607.907157728924,0,3348.578346654744,0,3660.868447653785,0,2438.798781883423,0,2394.7487152687827,1,2907.576943321191,0,2950.513994374387,0,3569.745543673468,0,2939.9408605183853,1,3835.664214888776,1,3432.780500269946,0,2551.2278153167986,1,2190.475292763477,0,4261.923452399686,0,2178.660468168121,0,3142.4183247892797,1,3748.115191253421,0,4335.9597946866015,0,3459.626434661164,0,3049.387387418408,0,1540.638225666674,1,3277.039462399538,1,3397.4719195523176,0,1672.9936911589457,1,2128.231886256764,1,4781.797799511693,1,2145.547229969915,1,3004.733913460668,0,2117.4753767560915,0,2603.433019019249,0,1342.3763757013332,1,3643.447429556144,0,3794.070005882105,0,1568.6852506919029,1,3969.073070219787,1,1439.4828233249918,1,1910.4181644620307,1,2357.097999148248,1,2794.1582238671,1,2223.121060849592,1,2478.164185106382,1,1761.3092595138487,1,2835.850220154452,1,4293.207763287629,1,2037.8461748455095,1,3275.140864789106,1,2059.3672096709697,1,4084.99694643752,1,2772.7895811494527,1,2289.4488374009043,1,3714.716901039405,1,1906.2068764660291,1,-154.2620546083176,1,4308.120344980949,1,4087.762491446669,1,3359.069471748342,1,3699.6953850766463,1,975.4123021355148,1,2389.56664669724,1,2501.9940894237443,1,3763.543913305151,1,2789.711769347576,1,2691.83442339309,1,3524.4926696354974,-0.5809946060180664,0.6083333333333333,0.4901694670647867,2946.823624364393,981.0825610219578
PARDON,0,5279.39689350033,0,4962.738216480183,1,4001.925247312384,1,5173.5078603255215,1,6838.547535019045,1,4745.289943497199,1,2992.477373228666,1,4592.0220400348535,1,2547.631343802059,1,7009.338278688727,0,4563.335449292776,1,6167.674496416995,0,3508.78705226454,1,4879.317087514248,0,5160.88381311336,0,4261.897821358311,0,4825.475889670503,1,4361.305507228048,0,5769.58462765786,0,3623.002534274892,1,6827.089759184692,0,4781.050123906545,1,4009.0333669916863,1,5383.667460061721,1,6666.026823577891,1,4987.085882690375,0,5845.398187994108,1,4175.491182375947,1,5728.449006993662,0,5790.856658089123,0,4898.70281990743,0,4568.131731346056,0,5282.58987715362,0,5267.035776778393,0,5325.901878805556,1,6305.783001205262,1,2838.460153466212,0,3531.76645165528,0,3413.407894395424,1,5478.088899054834,0,4755.550198092962,1,5131.122159427355,1,3685.5190471152905,1,6591.916640179525,0,5244.800010276311,0,3631.70400210858,1,3977.718674430779,1,3221.69246163273,1,1646.737709929851,0,5092.854955160797,1,3960.685839698281,1,2870.672177704694,0,3091.180167450777,0,5185.707189279321,0,3393.868547443317,1,5743.369299420197,1,4639.251371099993,1,5764.956165518947,1,3378.516044330754,1,4370.906407059039,0,3541.1639376387525,1,4037.9912753597146,0,3729.729172600312,1,5574.017434379652,0,4321.473448334721,1,3028.613396441394,1,6026.139157129695,0,3544.178597152391,0,4718.82695428361,0,3951.802426032912,1,3184.348836186761,0,2684.590597993347,0,5630.707929192846,0,3855.3796194292872,0,3773.638177675913,0,4939.596476831049,0,5139.998254209414,1,4498.03315989199,0,4404.829093801989,0,5816.057920853587,0,3876.306688636345,1,3431.255513865924,0,4963.221405157639,1,3931.0674577521945,0,5746.43297361418,0,4566.998339545269,1,3398.1684517035906,0,6549.109288256757,1,4767.836029262743,1,3349.010275225629,1,4832.093219033096,1,3860.8097412644775,1,2823.235375311789,1,2680.145782338478,1,4604.939324366636,1,2264.263282835958,1,3607.406191467815,1,4221.9046856818,1,4650.100088986222,1,5155.094715027857,1,4697.496713126397,1,5821.621573752882,1,4110.550424334038,1,5330.442902005648,1,2976.80692586265,1,2113.953487953327,1,3653.3649983776336,1,2079.981038850948,1,3409.2874989109087,1,3470.959926985956,1,3778.883234230218,1,4546.372708962623,1,4501.455265429732,1,4009.75061659281,1,2660.74333088489,1,6334.006379335053,1,4164.59221808871,1,3736.07040592678,1,5803.9616962628925,1,4488.350683997405,-0.6419495940208435,0.625,0.4861527926641233,4442.633764485828,1133.7231601041597
HIDEOUS,0,15412.869989739402,0,15716.862498737622,0,16584.63750990482,0,15425.643091151798,0,15847.215833258562,0,13550.730240629731,0,16979.16158880807,0,13381.566647218668,0,14995.339808604718,0,14787.20727311949,0,13752.855595458328,0,14947.28727531952,0,14027.026005889153,0,15271.144695922416,0,15336.196425165965,0,14885.951340145435,0,15071.872454452036,0,14832.033371464442,0,15907.897650728904,0,15845.914850215988,0,14158.0704730422,0,14522.106003197909,0,14418.988890943896,0,14534.289912881675,0,16589.69429552354,0,14247.019372794584,0,15176.436281633023,0,15957.242689998804,0,15928.545602907045,0,15371.490499418516,0,12928.538297308363,1,13779.468643864366,0,14633.675711821214,0,14949.798826236763,1,13623.371452627887,0,12465.523606277637,0,15120.802753994194,1,13346.463071353564,0,16609.054643893687,1,13899.725835121146,1,13665.5599845233,0,13143.280245608315,1,14309.500941778684,0,14421.765462039506,1,14910.11268157339,0,13946.435042549834,1,15869.503499716098,1,15518.51943767098,1,15185.272215265546,1,14059.74094126428,0,13983.313792009369,0,14586.972433540306,1,12578.5838589571,1,13929.181482467708,0,14042.786363650932,1,15739.443331990777,1,15150.79428670919,1,13778.395834053385,1,13944.16201836762,1,13505.923940437646,0,12207.815828805144,0,13415.094375152948,1,15193.782850200829,1,14973.592108853809,0,14492.864827976597,1,15047.980552617142,1,13583.77376843726,0,14866.820827414587,1,15005.975901299564,1,14870.445453181714,1,13733.867509156496,0,13727.422949015028,0,14718.54835709669,1,15200.11135706885,1,13830.660069815294,0,15552.995261487864,1,11723.834707761083,1,14769.169457673295,0,13762.776304067189,1,14197.557127037908,1,14614.03491039978,0,14584.49224878602,0,13433.991178665734,0,12550.393636005554,0,14596.136318232062,1,16314.816516615065,1,12730.558764735575,0,13236.22535675068,1,13214.035365703505,0,16364.87295428796,1,15456.686986813513,1,15763.666522535348,1,16046.78677461566,0,12650.74572397133,0,12672.267312301296,0,12331.053007342078,1,15549.677713581365,1,14315.282554617104,1,13780.432380831286,1,13913.36669323844,1,14181.113057982326,0,12988.03030084764,0,13151.006815598454,1,13892.239061268656,0,15234.04901198948,0,14663.92094565654,1,14079.754456450812,0,15010.756472527608,0,13554.47457432926,1,14787.632483282085,0,15791.113004600304,0,14353.920480049812,0,16800.0771417131,1,14609.784318239575,0,14192.01348670074,1,12243.666048177902,0,13760.332617868336,1,14581.541503784789,1,13558.501304269095,0,13735.134223772508,0.14158040285110474,0.4083333333333333,0.4935863156332353,14460.438688568394,1091.0490890405663
MASSIVE,0,3364.67684448637,0,5247.285699832308,0,910.8175722403912,1,4155.111425706484,0,3056.8202964253505,0,3296.678612603456,1,4446.771859864082,0,5178.718479147681,1,3557.0363539285354,1,1650.9107415717972,0,3717.494703760562,1,5070.82790064144,1,4099.310793471796,1,4818.176679831324,0,4270.928760900108,1,3058.7534740802294,1,4650.061877144101,1,3776.177918196813,0,4623.172443455925,0,4324.515395255392,1,2965.454948795947,1,4343.277030164528,1,2097.759684117866,1,3026.3214384135954,0,3879.428251524314,1,4017.68969497198,0,5486.967340592382,1,4145.285036029331,0,4387.215692000735,1,3239.3435962709364,1,3252.398278400399,0,2386.769888218937,0,4234.743671495092,0,2935.994569162438,1,3827.624915570882,1,4899.741875574075,0,3626.62001141322,0,1988.048740257627,0,4336.0918323683645,1,2677.0179597207016,1,4058.1468140978623,1,2711.3277503110507,1,2988.770058074271,0,1808.595113765511,0,2374.584345843992,1,2058.795121147371,1,3680.300120792832,0,3832.0427395410175,0,3664.8204729176537,0,4989.176856193183,0,1630.5143305681106,1,2128.1146611640024,1,4510.634024031701,1,5723.049023166351,0,4431.435851209002,0,2991.701065372007,1,2723.1505655452183,0,3672.60641280158,1,4603.247750649375,0,3251.022692467636,1,3423.3325843026378,1,2303.572237736078,1,2683.9540846410987,0,1396.8633241308366,1,2902.355962858676,1,4812.599229799631,1,2986.622405942357,1,2298.2685199814914,1,5698.394185124269,1,2775.379138157496,1,4114.478192465433,1,5374.058491453349,1,2793.2845600767737,1,3279.6088254898737,0,2755.824768980908,0,1549.146281897201,0,3271.408078559861,1,2454.2596659630426,0,3176.2282253891285,0,5506.447789651257,1,3844.839342772308,0,3020.712410497482,1,3811.890150305224,1,4421.6153566410885,1,2483.166991046107,0,4245.206174083258,1,3158.590877894495,0,2349.725099574064,0,2356.6423113860046,0,5406.798554929777,1,3765.68066845715,1,2681.0511443808045,1,2656.786174764318,1,2453.6102868095268,1,3893.5732572960296,1,4180.716412233856,1,3248.4861576041703,1,1271.8676298707244,1,2335.936698825788,1,3814.552891857864,1,2074.157704986977,1,2209.939334592878,1,3517.9981843995106,1,3664.6369087744497,1,3611.828184221248,1,1999.1619842310213,1,2966.358712313642,1,2338.946093950407,1,2923.189613122253,1,4214.840556583643,1,4042.231726683192,1,1491.35420531468,1,4103.425860134762,1,2701.111417185297,1,2267.7936498542235,1,5348.382549363869,1,3498.526851495503,1,3232.023184303268,1,3414.130335365587,1,2639.887653108149,-0.8069114685058594,0.6666666666666666,0.47338106833115046,3417.312815925695,1063.5261477830575
PROBABLE,1,3743.9851198191336,1,2669.292283376886,1,3355.588489135006,1,2847.66933407052,1,2539.3720304307603,1,4121.457986986773,0,3780.631264913665,0,1327.1828526796598,0,2877.7307031569685,0,4371.6513502004655,0,2777.76924779108,1,3531.295324321012,1,4074.263826545612,1,2246.162878252434,0,4076.321518001701,1,3739.032883093343,0,2640.9627983796254,1,3506.783145446609,0,6284.664788452645,0,3291.8853498991075,0,4137.377784815347,1,3945.896227508889,1,2703.5433165579343,1,2773.4943442455724,0,3881.20400642408,1,4664.077578036091,0,2293.588435105288,0,3526.186487044772,1,3159.883161807387,1,1627.149771935446,0,2583.054512051776,1,2822.004162544117,1,2119.027030511771,0,4236.088266107198,1,3540.12927252528,0,3109.794277513592,0,4460.106043777216,0,3496.056435359332,1,2679.6003876616514,1,2648.493713250214,0,2899.012022165668,1,2551.170379323702,0,4097.4373508872295,0,3892.443132165132,0,5980.74720068892,0,2374.519810656902,0,2185.5875515811035,0,4565.707105982321,1,3183.6188052735024,1,3985.027637551069,1,3135.7407286746475,0,2808.991905094412,0,2935.5452964316974,1,2281.336330867552,1,4814.569661195133,1,2166.9127881804693,0,4460.546908729331,0,3316.677707696178,0,5090.021370386271,0,2381.9335196484662,0,2918.5697734310825,0,2689.564658817821,1,2767.420743763016,1,1507.8882043325705,1,3644.8295702587247,0,2996.8178102882785,1,6361.839449281929,0,1721.3661466803055,0,2431.610925286239,0,4660.353988419458,0,4777.563920505522,0,4151.793666745201,0,5027.6866052064415,1,2805.3445250928976,0,3345.218854936626,1,2160.863624747764,1,2141.5345405788703,1,4084.9213752485057,0,4836.477807901147,1,4516.223127781535,1,3421.6865408508743,1,2979.1951255859576,0,3956.755575530622,0,4622.212875443217,1,2345.2188177753505,1,4100.061522899731,0,2514.1418284733268,1,2276.825323732733,0,3733.788052198628,1,2856.291205422297,1,2548.214503686497,1,3594.8720995101557,1,2409.285701985935,1,2555.834063448203,1,3163.2037783011237,1,2320.742551731832,1,2882.4139130290696,1,3358.6908177741457,1,2704.723924260726,1,3567.71379873791,1,2326.929332873658,1,1751.926031225491,1,4746.836728205317,1,4320.534279621228,1,3703.294291874688,1,1580.4476983349457,1,2785.751511292926,1,1671.656916822261,1,3980.446494727712,1,3608.44826028247,1,4360.900909055356,1,4524.242059054954,1,2919.407191159842,1,2442.8775834605103,1,705.737717168156,1,2978.569348083425,1,3541.160657683457,1,2766.104564707763,1,4286.71133226102,1,2919.012568263677,-0.542214035987854,0.6166666666666667,0.48823698153668743,3289.15635348964,1015.065400862272
IMPOSTOR,1,3831.2900191474023,0,6228.364091749913,1,6019.395428928097,0,2849.823413587664,1,4316.218473963525,1,4220.972411998846,1,3116.208272244815,0,1997.2810225638889,1,3420.315905648775,0,4903.628310992705,1,4265.509512154898,0,3456.4105947906883,0,4865.6067347620665,0,4613.940807975414,0,4775.85740046738,0,3238.424964802325,1,3099.522624769622,1,5524.093517246891,1,4391.492459496464,1,1624.0458585899703,1,3211.6492171767827,1,2972.3054862682484,0,4340.190535473054,1,5542.427377660742,0,4543.173529526828,0,2207.2787579850537,0,4437.38782886972,1,4383.340063642657,0,4686.421463777729,0,5841.325248274923,1,3053.447096592124,0,2958.13941987451,0,4132.039895577817,0,5346.274939429927,0,3922.786792002213,1,4127.550908117488,0,3092.1058868003483,1,2905.876933065664,0,2670.9015260847477,0,4375.406218685916,1,4922.087452657781,0,1611.983194978834,0,2557.731747181495,0,3926.493653258838,0,4616.814873999424,0,4565.209875204969,0,3055.3310136763166,0,3780.6063564929714,0,5083.831652021016,0,3646.827150797152,1,3165.8497336691103,1,4450.261517345408,1,2128.237721535673,0,3024.3330592286807,0,4810.11712539619,0,3962.9960415723344,0,2478.4865929054804,0,2843.6468054925576,1,3422.2747926056404,1,4757.505318494179,0,3427.964453869109,1,2040.7924993296333,1,2114.4187158905106,0,3454.185409166417,0,3435.865491179054,1,2204.481415010303,1,4314.215491553656,0,4526.772850150429,0,3929.9926221145342,0,3774.692312513136,1,2085.5100366859533,0,2924.7763598805504,1,4163.073993954868,0,4210.889188586026,1,3913.042087602578,1,3236.347938818955,0,4811.504465329511,1,3999.672307010205,0,4409.998572908316,1,3244.956717964013,0,3343.6261427373124,1,2677.043471690221,1,2582.288016475947,0,4025.972709875576,1,2030.1061480178923,1,4215.624576515185,1,2727.690182990911,1,4593.796064104407,1,3329.793223628735,0,3264.614603747036,1,2795.9296580575474,1,2491.7609542266778,1,3855.562127371174,1,2095.006171694289,1,1743.5225578313416,1,2247.807654388174,1,4366.213189116245,1,5829.723401154715,1,2541.252016778752,1,3619.1718116015063,1,3474.745077349041,1,2304.6097342972826,1,3638.289438310327,1,2464.799388018252,1,2780.821307951883,1,1341.3055339560085,1,2854.5897044890453,1,2399.006354712723,1,3359.010655394138,1,3743.024419689118,1,2862.2142412635126,1,4388.792911811584,1,2532.9120421218367,1,2983.283430728961,1,2752.7335975215683,1,5787.900718480059,1,1927.1662846821475,1,2193.428049056931,1,3361.085034950065,1,2148.3201976128867,-0.30147555470466614,0.5916666666666667,0.4935863156332352,3551.8062696933393,1070.4316893466082
FASCINATE,0,8968.5342445761,1,9412.39121097922,1,9410.439418231745,1,8212.16850790163,0,8542.84193226454,1,6944.914169188449,0,8437.425002157648,1,9288.635500777342,0,6737.749931466607,0,9430.51702482873,1,9824.07616538212,0,9915.245766275506,1,8035.334133199415,0,8734.922805450438,1,9616.058397959963,0,8777.151800316755,0,9934.027608386345,1,9186.91048420804,1,10346.164987139096,0,10020.196583656549,0,11333.7616625846,1,10716.394584242958,0,9404.247344182812,0,9711.180525870346,0,9359.412317604643,1,10183.685474702048,0,8911.18293505578,0,10735.12251715394,0,9199.946262325697,0,10199.283949313609,1,8133.423231620641,0,9421.894185680456,1,7315.939928344016,1,8425.341400671396,1,8485.962040996706,1,8676.774375287865,0,6827.607098201059,0,8295.501966889693,1,8581.56935110759,1,8663.319909706383,0,7439.368508298995,1,9839.207425888704,0,8222.835293413098,0,9474.402781173145,0,9986.70319528822,1,7108.871449188575,0,9738.387656827834,1,9904.6418981201,1,8829.083712428332,1,9474.163597430672,0,8197.301554687721,0,9366.154984777568,0,7098.242172851122,0,8986.0612386246,0,9539.652151034672,1,9370.713802604902,1,8216.079616117551,1,8559.244112196951,0,7894.517376845351,0,11335.619064096403,1,8978.999880825026,0,7375.220206362119,1,9520.33684117452,0,7944.736093904899,0,9449.674156588262,0,9111.129023246818,0,8524.249811288715,1,8993.893860182201,0,9256.108155106338,1,7466.750681276471,0,9002.70427787075,1,8713.131776470449,0,9274.17037487441,1,7614.8435869647055,0,7829.955307644809,0,7405.921737156015,0,10477.1164234885,1,10546.273825010005,0,7744.495118461786,0,11661.379780388832,1,8729.186783193796,1,8352.211136454804,1,9824.928071612543,0,10691.090042604876,1,10557.163084322952,1,9604.876070361872,0,7783.358900985295,0,10452.173940172635,0,10110.78525784644,1,7784.555779594306,1,9489.101708490389,1,8572.873359270388,1,7789.96445690024,1,8009.606932945431,1,11109.639788403754,1,8096.281442623595,1,8169.075318104114,1,7484.763116030347,1,7854.308090673127,1,6590.85791936573,1,7646.656495526311,1,7289.878223366324,1,7073.828324075341,1,6580.631064430916,1,8431.031952726447,1,8742.853498673505,1,8114.682304235952,1,7621.198898090234,1,7088.981167510534,1,6004.721583271177,1,7824.375523543295,1,8818.761110371772,1,8335.234344219924,1,6837.738632721304,1,8980.125840317627,1,8370.415488736031,1,8524.607864990916,1,8563.121122675871,1,9185.91622429122,1,7545.17278233952,-0.28258776664733887,0.5833333333333334,0.4950737714883372,8770.55277410116,1144.8257451531847
EVIDENT,0,6410.450903163327,1,8094.264003035471,1,6172.307619059971,1,6517.143134737592,1,5329.656250816111,0,8544.594856779755,0,6736.339641744377,1,7497.382601197529,0,6825.322838988454,0,6326.57802960147,0,5903.951498506234,0,7486.32993477108,1,6172.040346637393,0,7013.190650103584,0,6644.581751990309,1,6749.642875036522,1,7160.126912611506,1,7205.63794772578,0,5228.710873724361,1,7114.797836472065,1,5106.189529177085,1,4515.9431890429805,0,7458.05018603549,1,8459.80395571486,0,5475.010115462401,0,7465.305327821105,0,6891.864861329764,1,6794.41021111159,0,6209.811229206423,0,5904.656242013751,1,4983.049722249576,1,6356.49259958729,0,6900.443707033186,1,6910.177447994327,0,7764.386970597351,1,7577.641042743502,0,6381.577321628017,0,4516.10676507495,1,6395.7462581451855,0,6526.595854914167,0,6636.371235392707,0,6423.291685626421,1,6179.354160589213,0,7165.616622576117,0,6351.791398505276,0,6248.6008172152615,0,6085.572403322777,0,6903.0290992010805,0,5832.224006035636,1,6477.677135016607,1,5415.878972637406,1,6089.84714439769,1,6926.983334042353,0,6683.25827452546,1,5108.21973691475,1,5015.315397538885,0,6426.641047839295,0,6036.327661440782,1,4792.45212500462,1,8353.01321872777,0,6267.736856837271,1,6755.664551124153,0,5757.755249421621,1,7153.179505672174,1,5421.055505575678,1,9494.590321865186,1,7835.365460064152,0,6827.898384700651,1,7566.835676196177,1,5845.732108378037,0,4895.554326654887,0,5429.617939812468,0,7544.747858237793,0,4360.55077022469,1,4814.297289544538,0,7546.410201460552,1,6307.392025185708,1,7290.860228688221,0,7186.764921378484,1,5716.0561038895,0,6281.209635166581,0,7660.792032912727,0,4924.930358092167,0,6496.410598013065,1,5735.188505296837,1,6579.905032965804,1,7565.347045607074,1,6030.972350619956,1,7607.948722380351,0,5541.552407981042,1,2402.360016530341,1,5358.161186135874,1,5213.199689094741,1,4610.798368820491,1,5947.962788128982,1,5114.596422462649,1,5632.599421425267,1,6219.527202612953,1,5334.8682013778025,1,6470.789163431049,1,5353.687663604069,1,4376.530260733759,1,7922.702565764563,1,5994.521349182292,1,6848.676991636604,1,6834.874293869798,1,5662.333112646364,1,6614.708605762637,1,5320.456119759178,1,6642.201020266327,1,7552.725643256455,1,6700.949262229994,1,6654.486255220995,1,6634.9392310227695,1,4175.777743101905,1,5362.779123377265,1,4952.044477108827,1,6260.230932552816,1,5436.331791028302,1,5240.776523966968,-0.4687522351741791,0.6166666666666667,0.48823698153668743,6301.389132668294,1064.0365875838681
